SID,Type count,Token count,Lexical diversity
283_101416_08_cut.txt,43,181,0.237569060773
8283_012017_01_cut.txt,71,195,0.364102564103
8283_012017_03_cut.txt,60,181,0.331491712707
8283_012017_04_cut.txt,102,304,0.335526315789
8283_012017_05_cut.txt,85,296,0.287162162162
8283_012017_06_cut.txt,39,112,0.348214285714
8283_012017_07_cut.txt,44,110,0.4
8283_032817_01_cut.txt,79,277,0.285198555957
8283_042416_05_cut.txt,45,130,0.346153846154
8283_050116_01_cut.txt,81,207,0.391304347826
8283_052317_03_cut.txt,63,251,0.250996015936
8283_060516_01_cut.txt,76,223,0.340807174888
8283_060516_02_cut.txt,32,55,0.581818181818
8283_060516_03_cut.txt,80,150,0.533333333333
8283_091316_02_cut.txt,73,170,0.429411764706
8283_091316_03_cut.txt,78,186,0.41935483871
8283_091316_04_cut.txt,89,230,0.386956521739
8283_091316_05_cut.txt,126,386,0.326424870466
8283_092216_01_cut.txt,48,95,0.505263157895
8283_092216_03_cut.txt,75,179,0.418994413408
8283_092216_04_cut.txt,32,96,0.333333333333
8283_101416_01_cut.txt,102,255,0.4
8283_101416_02_cut.txt,72,179,0.402234636872
8283_101416_03_cut_m4a.txt,74,259,0.285714285714
8283_101416_04_cut_m4a.txt,49,116,0.422413793103
8283_101416_05_cut.txt,47,196,0.239795918367
8283_101416_07_cut.txt,81,282,0.287234042553
8283_101416_09_cut.txt,72,365,0.197260273973
8283_101416_10_cut.txt,66,268,0.246268656716
8283_102816_01_cut.txt,49,111,0.441441441441
8283_110416_02_cut.txt,84,156,0.538461538462
8283_110416_03_cut.txt,65,131,0.496183206107
8283_110416_04_cut.txt,68,103,0.660194174757
8283_110416_05_cut.txt,55,151,0.364238410596
8283_110416_06_cut.txt,63,261,0.241379310345
8283_110416_07_cut.txt,101,214,0.471962616822
8283_110416_08_cut.txt,36,63,0.571428571429
8283_111716_01_cut.txt,64,167,0.383233532934
8283_111716_04_cut_save.txt,49,92,0.532608695652
8283_111716_06_cutsave.txt,28,73,0.383561643836
8283_111716_07_cutsave.txt,70,328,0.213414634146
8283_111716_08_cutsave.txt,72,160,0.45
8283_120416_01_cutsave.txt,90,273,0.32967032967
8283_120416_02_cutsave.txt,45,263,0.171102661597
8283_120416_03_cutsave.txt,73,167,0.437125748503
8283_120416_06_cutsave.txt,49,74,0.662162162162
8283_120916_03_cutsave.txt,96,173,0.554913294798
8283_120916_05_cut_save.txt,71,173,0.410404624277
8283_121316_01_cut_save.txt,66,151,0.437086092715
8283_121516_01_cut_save.txt,64,205,0.312195121951
8283_121516_02_cutsave.txt,120,373,0.321715817694
8283_121516_03_cut_save.txt,57,134,0.425373134328
8283_121516_04_cutsave.txt,101,292,0.345890410959
8283_parenting_obs_42416_01_cut.txt,86,194,0.443298969072
8283_parenting_obs_42416_02_cut.txt,49,225,0.217777777778
8283_parenting_obs_42416_03_cut.txt,92,367,0.25068119891
8283_parenting_obs_42416_04_cut.txt,71,264,0.268939393939
8283_parenting_obs_42716_01_cut.txt,79,219,0.360730593607
8283_parenting_obs_5116_05_cut.txt,50,176,0.284090909091
8283_parenting_obs_5116_2_cut.txt,41,183,0.224043715847
