item,answer_cor,q_type,article
e1_1,b,exp,e1
e1_2,c,exp,e1
e1_3,d,exp,e1
e1_4,d,exp,e1
e1_5,a,exp,e1
e1_6,d,exp,e1
e2_1,a,exp,e2
e2_2,b,exp,e2
e2_3,c,exp,e2
e2_4,b,exp,e2
e2_5,a,exp,e2
e2_6,b,exp,e2
c1_1,c,con,c1
c1_2,b,con,c1
c1_3,c,con,c1
c1_4,c,con,c1
c1_5,d,con,c1
c1_6,c,con,c1
c2_1,a,con,c2
c2_2,d,con,c2
c2_3,a,con,c2
c2_4,b,con,c2
c2_5,d,con,c2
c2_6,a,con,c2
