trial,answer_cor,q_type,exclude
1,b,recall,0
2,a,recall,0
3,c,recall,1
4,b,generalize,0
5,d,generalize,1
6,c,generalize,1
7,a,recall,0
8,d,recall,1
9,a,recall,0
10,b,generalize,0
11,c,generalize,1
12,c,generalize,1
13,a,recall,0
14,d,recall,1
15,c,recall,1
16,a,generalize,0
17,b,generalize,0
18,c,generalize,1
