JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,16955,18899,"0","0","1",
1,19995,23279,"0","0","1",
2,25178,32697,"0","1","0",
3,38381,48206,"1","0","0",
4,48982,53353,"1","0","0",
5,58523,62013,"0","0","1",
6,62676,73218,"0","1","0",
7,74094,75302,"0","0","1",
8,75302,76886,"0","0","1",
9,77865,83982,"1","0","0",
10,89939,147699,"0","1","0",
11,148245,159404,"0","1","0",
12,181322,0,"0","0","1",
13,183877,0,"0","0","1",
14,184589,196557,"0","1","0",
