JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,33677,37580,"1","0","0",
1,40832,43529,"0","1","0",
2,44008,44862,"0","0","1",
3,44862,49925,"0","0","1",
4,50187,53395,"0","0","1",
5,53395,54911,"0","0","1",
6,58199,60212,"0","0","1",
7,60274,62101,"0","0","1",
8,64433,73015,"0","1","0",
9,86104,91005,"0","1","0",
10,93717,103707,"0","1","0",
11,113466,115475,"0","0","1",
12,126823,132992,"0","0","1",
13,180848,185278,"1","0","0",
14,186670,189755,"1","0","0",
15,196715,201639,"0","0","1",
