JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,12085,25347,"1","0","0",
1,25768,42642,"1","0","0",
2,43291,56532,"1","0","0",
3,58157,67679,"1","0","0",
4,72611,84367,"1","0","0",
5,84418,95571,"1","0","0",
6,100367,104523,"0","0","1",
7,109443,111813,"0","0","1",
8,113037,118038,"0","1","0",
9,120418,132631,"0","0","1",
10,134066,144902,"0","1","0",
11,151048,155531,"0","0","1",
12,170492,176180,"0","0","1",
13,178235,188874,"0","1","0",
14,189384,191959,"0","0","1",
