JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,46563,54561,"1","0","0",
1,55482,60632,"1","0","0",
2,85398,91967,"0","1","0",
3,99025,101162,"0","0","1",
4,105014,108929,"0","0","1",
5,111662,113679,"1","0","0",
6,113721,124384,"0","0","1",
7,127614,137466,"0","1","0",
8,138405,142520,"1","0","0",
9,143147,156163,"1","0","0",
10,161394,166971,"1","0","0",
11,167134,170973,"0","0","1",
12,178753,181138,"0","0","1",
13,182709,193728,"0","0","1",
14,194563,196444,"0","0","1",
15,199406,206434,"1","0","0",
16,211833,225227,"0","1","0",
