JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids
0,16007,20303,0,1,0
1,20642,28633,1,0,0
2,29990,33207,1,0,0
3,33612,35069,0,0,1
4,35785,38847,1,0,0
5,39343,40293,0,0,1
6,41221,43326,0,0,1
7,55668,64747,0,1,0
8,68467,74321,0,0,1
9,78213,84071,0,1,0
10,86925,99416,1,0,0
11,104624,107175,0,0,1
12,109398,113200,0,0,1
13,117043,170214,0,1,0
