JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,45649,49131,"0","1","0",
1,49131,50835,"0","0","1",
2,54934,59619,"0","1","0",
3,63831,67002,"0","1","0",
4,67059,73890,"0","1","0",
5,73890,79058,"0","1","0",
6,79058,89042,"0","1","0",
7,90911,93361,"0","0","1",
8,93361,95167,"0","0","1",
9,95167,97495,"0","0","1",
10,98261,100784,"0","0","1",
11,103319,105245,"0","0","1",
12,105245,107664,"0","0","1",
13,110115,127276,"0","1","0",
14,141281,148166,"0","1","0",
15,153582,173698,"0","1","0",
16,173698,180678,"0","0","1",
17,180678,185691,"0","1","0",
18,189006,196813,"1","0","0",
19,196910,204441,"1","0","0",
20,218961,225073,"0","1","0",
