JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,36198,43205,"0","0","1",
1,44799,53759,"1","0","0",
2,68695,79350,"1","0","0",
3,84940,87138,"0","0","1",
4,88165,97848,"0","0","1",
5,97848,119704,"0","0","1",
6,120062,128664,"0","0","1",
7,132964,151283,"0","1","0",
8,154468,158001,"0","0","1",
9,161307,165549,"1","0","0",
10,174523,176196,"0","0","1",
11,183498,187839,"0","0","1",
12,192586,197803,"0","0","1",
13,204644,213046,"1","0","0",
