JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,23893,24327,"0","0","1",
1,37890,39281,"0","0","1",
2,40365,43543,"0","0","1",
3,44346,45960,"0","0","1",
4,53211,55284,"0","0","1",
5,55897,58679,"0","0","1",
6,58794,61390,"0","0","1",
7,61552,63689,"0","0","1",
8,65840,69371,"0","1","0",
9,71816,79591,"0","1","0",
10,84452,100838,"0","1","0",
11,102762,113539,"0","0","1",
12,114750,120359,"0","0","1",
13,130518,133380,"0","0","1",
14,137927,160065,"0","0","1",
15,160355,176884,"0","1","0",
16,191197,198443,"1","0","0",
