JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,49484,52551,"0","0","1",
1,53566,54430,"0","0","1",
2,55574,56006,"0","0","1",
3,56057,57835,"0","0","1",
4,60903,63166,"0","0","1",
5,63166,65272,"0","0","1",
6,65957,68098,"0","0","1",
7,78032,79430,"0","0","1",
8,79430,81780,"0","0","1",
9,98840,102493,"0","1","0",
10,116038,117238,"0","0","1",
11,125329,126999,"0","0","1",
12,142911,145517,"0","1","0",
13,153251,156969,"1","0","0",
14,159454,168760,"0","1","0",
15,171545,179311,"1","0","0",
16,183090,190176,"0","1","0",
17,197173,201325,"1","0","0",
18,205137,208593,"1","0","0",
