JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,13189,15757,"0","0","1",
1,21487,31651,"1","0","0",
2,33060,45178,"1","0","0",
3,45644,53031,"1","0","0",
4,53333,61944,"0","0","1",
5,67666,85397,"1","0","0",
6,86575,93423,"0","0","1",
7,95470,108332,"1","0","0",
8,114651,129671,"0","1","0",
9,133655,139591,"0","0","1",
10,139932,145878,"1","0","0",
11,147180,165231,"0","0","1",
12,167293,172182,"1","0","0",
13,176513,185122,"0","0","1",
