JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,42734,42734,"0","0","1",
1,42757,55302,"0","1","0",
2,55302,65385,"0","1","0",
3,68622,71233,"1","0","0",
4,73098,84526,"0","1","0",
5,87270,96221,"0","1","0",
6,96594,108153,"0","1","0",
7,108526,144875,"0","1","0",
8,145621,152909,"0","0","1",
9,154027,157902,"0","0","1",
10,161859,178546,"0","1","0",
11,179388,194612,"0","1","0",
12,194612,196192,"0","0","1",
13,198111,204710,"0","1","0",
14,205358,210236,"0","0","1",
15,211004,220850,"0","1","0",
