JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,39936,47654,"1","0","0",
1,49927,59756,"1","0","0",
2,61895,66459,"1","0","0",
3,73238,76482,"1","0","0",
4,79791,96727,"1","0","0",
5,98665,104901,"1","0","0",
6,106151,114643,"1","0","0",
7,122957,144413,"0","1","0",
8,146307,162276,"1","0","0",
9,162796,167410,"1","0","0",
10,168890,189601,"0","0","1",
11,191315,207694,"0","1","0",
12,208254,210992,"0","0","1",
13,213829,219619,"1","0","0",
