JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,14912,17767,"0","0","1",
1,18463,23853,"1","0","0",
2,24952,32131,"1","0","0",
3,32841,39326,"0","0","1",
4,40431,43900,"1","0","0",
5,43987,52002,"1","0","0",
6,52445,60760,"0","0","1",
7,61180,64108,"0","0","1",
8,68764,75217,"1","0","0",
9,77379,81874,"1","0","0",
10,82551,93076,"0","0","1",
11,93421,159193,"0","1","0",
12,160051,162821,"0","0","1",
13,163392,166826,"0","0","1",
14,168958,173420,"0","0","1",
15,176271,181970,"0","0","1",
