JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,14799,20107,"1","0","0",
1,20501,29568,"1","0","0",
2,44811,48004,"0","0","1",
3,49363,58855,"0","0","1",
4,59531,69387,"0","1","0",
5,69387,80820,"0","0","1",
6,81652,93042,"1","0","0",
7,93429,95592,"0","0","1",
8,95801,104869,"0","1","0",
9,105135,113148,"1","0","0",
10,115799,121460,"0","0","1",
11,126158,132761,"0","0","1",
12,133542,138380,"0","1","0",
13,140764,145082,"1","0","0",
14,145391,151122,"0","0","1",
15,156409,161898,"0","1","0",
16,161898,164235,"0","0","1",
17,176997,184928,"0","1","0",
18,188055,194841,"0","1","0",
