JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,41199,59271,"0","1","0",
1,60722,82407,"0","1","0",
2,82546,92836,"1","0","0",
3,103964,118608,"1","0","0",
4,120826,130573,"0","1","0",
5,135221,139001,"0","0","1",
6,152704,168192,"1","0","0",
7,169301,174384,"0","0","1",
8,176430,186409,"0","1","0",
9,194807,196545,"0","0","1",
10,196573,198246,"0","0","1",
11,198503,199982,"0","0","1",
12,200353,202491,"0","0","1",
13,206267,211072,"1","0","0",
14,212551,219920,"0","0","1",
