JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,78973,80880,"0","0","1",
1,83574,85348,"0","0","1",
2,89176,91044,"0","0","1",
3,92071,97648,"0","1","0",
4,106448,108882,"0","0","1",
5,116227,118820,"0","0","1",
6,120116,124984,"0","1","0",
7,125299,137828,"0","0","1",
8,141042,149497,"0","0","1",
9,153385,158089,"1","0","0",
10,158570,164629,"1","0","0",
11,165061,172296,"0","1","0",
12,173661,184714,"1","0","0",
13,188383,190831,"0","0","1",
14,197889,204073,"0","0","1",
15,212101,227702,"1","0","0",
16,229442,235911,"0","1","0",
17,238072,245849,"1","0","0",
18,248821,255974,"0","0","1",
