JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,35589,50398,"0","1","0",
1,50673,52807,"0","0","1",
2,52807,82435,"0","1","0",
3,96598,101390,"1","0","0",
4,110036,134692,"0","1","0",
5,135093,139170,"0","0","1",
6,139352,158335,"0","1","0",
7,158381,160377,"0","0","1",
8,161455,170127,"0","1","0",
9,171348,173166,"0","0","1",
10,173177,174729,"0","0","1",
11,175686,186508,"0","1","0",
12,186551,196938,"0","0","1",
13,200824,210293,"0","1","0",
14,210397,211782,"0","0","1",
