JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,46799,50674,"1","0","0",
1,51061,63974,"1","0","0",
2,68656,72407,"0","0","1",
3,75951,78913,"0","0","1",
4,88773,93217,"0","0","1",
5,94393,109422,"1","0","0",
6,111671,113613,"0","0","1",
7,113613,116309,"0","0","1",
8,116309,145416,"1","0","0",
9,146405,149856,"1","0","0",
10,149879,161876,"0","1","0",
11,161913,171215,"1","0","0",
12,172022,174373,"0","0","1",
13,179530,194783,"1","0","0",
14,209580,218158,"1","0","0",
15,224087,227380,"1","0","0",
