JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,36302,41299,"0","0","1",
1,41399,43490,"0","0","1",
2,44230,45964,"0","0","1",
3,46258,49319,"1","0","0",
4,49319,63735,"1","0","0",
5,63805,71363,"1","0","0",
6,71363,87598,"0","0","1",
7,93150,102264,"0","0","1",
8,105083,114757,"0","1","0",
9,114988,118863,"0","0","1",
10,119230,131530,"0","1","0",
11,132306,138393,"0","0","1",
12,138808,144490,"0","1","0",
13,144490,154637,"0","0","1",
14,155043,162384,"0","1","0",
15,162437,165189,"0","1","0",
16,166523,191274,"0","1","0",
17,192485,193747,"0","0","1",
18,197659,205212,"1","0","0",
19,207293,212270,"1","0","0",
