JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,49861,64720,"0","1","0",
1,65159,73137,"1","0","0",
2,77880,87777,"1","0","0",
3,88599,105931,"0","1","0",
4,105966,107700,"0","0","1",
5,108518,117686,"1","0","0",
6,134559,145984,"1","0","0",
7,170991,171824,"0","0","1",
8,172566,175351,"0","0","1",
9,179515,0,"0","0","1",
10,179840,182264,"0","0","1",
11,182370,202035,"1","0","0",
12,203926,210776,"0","0","1",
13,212065,213331,"0","0","1",
