JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,31082,50419,"1","0","0",
1,50727,54792,"0","0","1",
2,55257,59017,"1","0","0",
3,65720,70510,"0","1","0",
4,70510,75941,"0","1","0",
5,75979,81221,"0","0","1",
6,81881,86316,"1","0","0",
7,86872,97851,"0","1","0",
8,98235,106839,"0","1","0",
9,107741,122894,"0","1","0",
10,128494,130690,"0","0","1",
11,131718,154397,"0","1","0",
12,154397,188210,"0","0","1",
13,201226,209561,"0","0","1",
