JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,49746,68038,"1","0","0",
1,71209,81937,"0","1","0",
2,82373,86865,"0","0","1",
3,87059,103329,"0","1","0",
4,103869,106945,"0","1","0",
5,107528,113694,"0","0","1",
6,114416,125896,"0","1","0",
7,128592,132278,"0","0","1",
8,133569,136993,"1","0","0",
9,136993,144312,"0","1","0",
10,144312,163780,"0","1","0",
11,169626,176041,"0","1","0",
12,180561,213962,"0","1","0",
13,220797,227957,"0","1","0",
