JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,20722,91164,"0","1","0",
1,96213,107492,"1","0","0",
2,108315,119124,"0","1","0",
3,120364,134654,"0","1","0",
4,139853,162862,"0","1","0",
5,168443,194884,"0","1","0",
