JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,28263,31636,"1","0","0",
1,32852,47206,"1","0","0",
2,48398,54903,"1","0","0",
3,54903,56507,"0","0","1",
4,56661,66901,"1","0","0",
5,66901,69691,"0","0","1",
6,73390,75848,"0","0","1",
7,91217,95245,"0","1","0",
8,95245,99079,"0","0","1",
9,101613,104991,"1","0","0",
10,119240,129314,"1","0","0",
11,129660,134641,"1","0","0",
12,139597,146695,"1","0","0",
13,155550,157007,"0","0","1",
14,174892,182980,"1","0","0",
