JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,13126,15387,"0","0","1",
1,21833,30842,"1","0","0",
2,40778,45706,"1","0","0",
3,45706,53062,"1","0","0",
4,54456,60281,"0","0","1",
5,66833,85977,"1","0","0",
6,86907,94531,"0","0","1",
7,96246,110753,"1","0","0",
8,115969,128456,"0","1","0",
9,134445,139589,"0","0","1",
10,146929,150244,"0","0","1",
11,153432,157801,"0","0","1",
12,160545,164729,"0","0","1",
13,176682,186042,"0","0","1",
