JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,48565,51385,"0","0","1",
1,51385,61137,"0","1","0",
2,62842,67606,"0","0","1",
3,67606,71480,"0","0","1",
4,73334,77272,"1","0","0",
5,77272,79658,"0","0","1",
6,82666,86033,"0","0","1",
7,87086,89730,"0","0","1",
8,89730,89761,"0","1","0",
9,107873,109491,"0","0","1",
10,112187,118571,"0","0","1",
11,118571,137854,"0","0","1",
12,138741,143229,"1","0","0",
13,144240,147741,"0","0","1",
14,148639,158720,"1","0","0",
15,169833,174018,"0","0","1",
16,181241,191878,"0","1","0",
17,201356,228261,"0","1","0",
