JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,56545,70123,"1","0","0",
1,70123,74264,"0","0","1",
2,80752,87875,"0","0","1",
3,98045,99375,"0","0","1",
4,176977,187578,"1","0","0",
5,211044,217737,"1","0","0",
