JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,32342,42681,"1","0","0",
1,44601,54550,"1","0","0",
2,54550,66979,"0","0","1",
3,68833,79448,"1","0","0",
4,84409,87758,"0","0","1",
5,88953,98345,"0","0","1",
6,98345,119794,"0","0","1",
7,120852,129127,"0","0","1",
8,134048,150369,"0","1","0",
9,150369,158180,"0","0","1",
10,158863,176148,"0","1","0",
11,184226,188112,"0","0","1",
12,192326,197408,"0","0","1",
13,205447,212917,"1","0","0",
