JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,42377,48820,"1","0","0",
1,48820,59615,"1","0","0",
2,62658,67547,"0","1","0",
3,67547,73927,"0","1","0",
4,73927,78979,"1","0","0",
5,78979,88307,"0","1","0",
6,90323,93174,"0","0","1",
7,94015,95626,"0","0","1",
8,95626,97888,"0","0","1",
9,97888,100579,"0","0","1",
10,103983,105829,"0","0","1",
11,105860,107441,"0","0","1",
12,110612,126783,"0","1","0",
13,141121,147992,"1","0","0",
14,153370,173170,"0","1","0",
15,173170,180848,"0","0","1",
16,180848,185438,"1","0","0",
17,188164,195660,"1","0","0",
18,197488,205398,"1","0","0",
19,218325,223970,"1","0","0",
