JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,51147,64381,"0","1","0",
1,72229,76621,"0","1","0",
2,88976,89979,"0","0","1",
3,89979,91342,"0","0","1",
4,95904,109924,"1","0","0",
5,109924,112502,"0","0","1",
6,119968,120899,"0","0","1",
7,120899,137505,"0","1","0",
8,166979,172884,"1","0","0",
9,172884,196502,"0","1","0",
10,204536,214089,"1","0","0",
11,214305,217807,"0","0","1",
12,217807,221863,"0","1","0",
13,222419,231686,"0","1","0",
