JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,20297,23209,"0","0","1",
1,25046,33204,"0","1","0",
2,40339,47391,"0","1","0",
3,47391,53683,"0","1","0",
4,53683,55445,"0","0","1",
5,77363,81391,"1","0","0",
6,90877,147616,"0","1","0",
7,185911,196480,"1","0","0",
