JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,34960,38273,"0","0","1",
1,39020,41059,"0","0","1",
2,41059,47807,"0","0","1",
3,49648,55911,"0","0","1",
4,56509,63259,"0","1","0",
5,66850,72956,"1","0","0",
6,74214,75988,"0","0","1",
7,75988,82407,"1","0","0",
8,83561,97932,"0","1","0",
9,101636,107195,"0","0","1",
10,107420,109515,"0","0","1",
11,110079,112247,"0","0","1",
12,115944,158837,"0","1","0",
13,161409,163931,"0","0","1",
14,192740,206750,"0","1","0",
