JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,48623,52534,"1","0","0",
1,53289,55180,"0","0","1",
2,61089,63183,"0","0","1",
3,63183,64743,"0","0","1",
4,65367,67845,"0","0","1",
5,69581,78484,"1","0","0",
6,78692,79203,"0","0","1",
7,79203,81462,"0","0","1",
8,82737,92526,"0","0","1",
9,98294,104060,"1","0","0",
10,107162,112120,"0","0","1",
11,115711,117663,"0","0","1",
12,119647,122373,"0","0","1",
13,125132,131888,"0","0","1",
14,135008,137434,"0","0","1",
15,143850,146577,"0","0","1",
16,148110,153043,"0","1","0",
17,153991,156355,"0","0","1",
18,160610,168093,"0","1","0",
19,168093,178004,"0","1","0",
20,182738,189447,"0","1","0",
21,194093,201718,"1","0","0",
22,201718,208820,"1","0","0",
23,212180,214507,"0","0","1",
