JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,129304,144121,"1","0","0",
1,152005,152894,"0","0","1",
2,156583,165869,"1","0","0",
3,165869,188070,"1","0","0",
4,193949,232228,"0","1","0",
5,233030,302650,"0","1","0",
