JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,44617,61479,"0","1","0",
1,65353,84044,"0","1","0",
2,86136,95177,"0","1","0",
3,105534,123019,"0","1","0",
4,123019,131259,"0","1","0",
5,138787,144575,"0","0","1",
6,144575,153158,"1","0","0",
7,157540,179688,"0","1","0",
8,179688,187468,"0","1","0",
9,197802,199380,"0","0","1",
10,199380,201673,"0","0","1",
11,201673,203502,"0","0","1",
12,203843,206074,"0","0","1",
13,208522,212635,"1","0","0",
14,212635,224227,"0","0","1",
