SID,Condition,Video
012017_01,exp,orchestra
012017_03,con,mis_jugetes
012017_04,con,classificando
012017_05,exp,ruidos
012017_06,con,mis_jugetes
012017_07,con,a_recoger
032817_01,exp,give_me_toy
042416_01,exp,ruidos
042416_02,exp,classificando
042416_03,exp,a_recoger
042416_04,exp,give_me_toy
042416_05,exp,ruidos
042716_01,exp,classificando
050116_01,exp,classificando
050116_02,exp,give_me_toy
050116_05,exp,orchestra
052317_03,exp,give_me_toy
060516_01,exp,classificando
060516_02,exp,orchestra
060516_03,con,give_me_toy
091316_02,con,give_me_toy
091316_03,con,classificando
091316_04,con,mis_jugetes
091316_05,con,ruidos
092216_01,con,ruidos
092216_03,con,give_me_toy
092216_04,con,ruidos
101416_01,con,ruidos
101416_02,exp,ruidos
101416_03,exp,ruidos
101416_04,exp,a_recoger
101416_05,exp,a_recoger
101416_07,exp,a_recoger
101416_08,exp,a_recoger
101416_09,exp,classificando
102816_01,con,ruidos
110416_02,con,orchestra
110416_03,con,orchestra
110416_04,con,a_recoger
110416_05,con,mis_jugetes
110416_06,con,a_recoger
110416_07,con,a_recoger
110416_08,con,a_recoger
111716_01,con,orchestra
111716_02,exp,give_me_toy
111716_04,con,mis_jugetes
111716_06,con,orchestra
111716_07,exp,mis_jugetes
111716_08,exp,mis_jugetes
120416_01,con,classificando
120416_02,exp,mis_jugetes
120416_03,con,classificando
120416_06,con,classificando
120916_03,con,orchestra
120916_05,con,give_me_toy
121316_01,con,give_me_toy
121516_01,exp,orchestra
121516_02,exp,mis_jugetes
121516_03,exp,orchestra
121516_04,exp,mis_jugetes
